nation,coach,nationality,birth_city,birth_country,wiki_title
Czech Republic,Miroslav Koubek,Czech Republic,Prague,Czech Republic,Miroslav Koubek
Mexico,Javier Aguirre,Mexico,Mexico City,Mexico,Javier Aguirre
South Africa,Hugo Broos,Belgium,Grimbergen,Belgium,Hugo Broos
South Korea,Hong Myung-bo,South Korea,Seoul,South Korea,Hong Myung-bo
Bosnia and Herzegovina,Sergej Barbarez,Bosnia and Herzegovina,Mostar,Bosnia and Herzegovina,Sergej Barbarez
Canada,Jesse Marsch,United States,Racine,United States,Jesse Marsch
Qatar,Julen Lopetegui,Spain,Asteasu,Spain,Julen Lopetegui
Switzerland,Murat Yakin,Switzerland,Basel,Switzerland,Murat Yakin
Brazil,Carlo Ancelotti,Italy,Reggiolo,Italy,Carlo Ancelotti
Haiti,Sébastien Migné,France,La Roche-sur-Yon,France,Sébastien Migné
Morocco,Mohamed Ouahbi,Morocco,Schaerbeek,Belgium,Mohamed Ouahbi
Scotland,Steve Clarke,Scotland,Saltcoats,Scotland,Steve Clarke
Australia,Tony Popovic,Australia,Sydney,Australia,Tony Popovic
Paraguay,Gustavo Alfaro,Argentina,Rafaela,Argentina,Gustavo Alfaro
Turkey,Vincenzo Montella,Italy,Pomigliano d'Arco,Italy,Vincenzo Montella
United States,Mauricio Pochettino,Argentina,Murphy,Argentina,Mauricio Pochettino
Curaçao,Dick Advocaat,Netherlands,The Hague,Netherlands,Dick Advocaat
Ecuador,Sebastián Beccacece,Argentina,Rosario,Argentina,Sebastián Beccacece
Germany,Julian Nagelsmann,Germany,Landsberg am Lech,Germany,Julian Nagelsmann
Ivory Coast,Emerse Faé,Ivory Coast,Nantes,France,Emerse Faé
Japan,Hajime Moriyasu,Japan,Kakegawa,Japan,Hajime Moriyasu
Netherlands,Ronald Koeman,Netherlands,Zaandam,Netherlands,Ronald Koeman
Sweden,Graham Potter,England,Solihull,England,Graham Potter
Tunisia,Sabri Lamouchi,France,2nd arrondissement of Lyon,France,Sabri Lamouchi
Belgium,Rudi Garcia,France,Nemours,France,Rudi Garcia
Egypt,Hossam Hassan,Egypt,Helwan,Egypt,Hossam Hassan
Iran,Amir Ghalenoei,Iran,Tehran,Iran,Amir Ghalenoei
New Zealand,Darren Bazeley,England,Northampton,England,Darren Bazeley
Cape Verde,Bubista,Cape Verde,Cape Verde,Cape Verde,Bubista
Saudi Arabia,Georgios Donis,Greece,Frankfurt,Germany,Georgios Donis
Spain,Luis de la Fuente,Spain,Haro,Spain,"Luis de la Fuente (footballer, born 1961)"
Uruguay,Marcelo Bielsa,Argentina,Rosario,Argentina,Marcelo Bielsa
France,Didier Deschamps,France,Bayonne,France,Didier Deschamps
Iraq,Graham Arnold,Australia,Sydney,Australia,Graham Arnold
Norway,Ståle Solbakken,Norway,Kongsvinger Municipality,Norway,Ståle Solbakken
Senegal,Pape Thiaw,Senegal,Dakar,Senegal,Pape Thiaw
Algeria,Vladimir Petković,Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina,Vladimir Petković
Argentina,Lionel Scaloni,Argentina,Pujato,Argentina,Lionel Scaloni
Austria,Ralf Rangnick,Germany,Backnang,Germany,Ralf Rangnick
Jordan,Jamal Sellami,Morocco,Casablanca,Morocco,Jamal Sellami
Colombia,Néstor Lorenzo,Argentina,Buenos Aires,Argentina,Néstor Lorenzo
DR Congo,Sébastien Desabre,France,Valence,France,Sébastien Desabre
Portugal,Roberto Martínez,Spain,Balaguer,Spain,Roberto Martínez
Uzbekistan,Fabio Cannavaro,Italy,Naples,Italy,Fabio Cannavaro
Croatia,Zlatko Dalić,Croatia,Livno,Bosnia and Herzegovina,Zlatko Dalić
England,Thomas Tuchel,Germany,Krumbach,Germany,Thomas Tuchel
Ghana,Carlos Queiroz,Portugal,Nampula,Mozambique,Carlos Queiroz
Panama,Thomas Christiansen,Spain,Copenhagen,Denmark,Thomas Christiansen
