player,birth_city,birth_country,nation,pos,club
Harry Souttar,Aberdeen,United Kingdom,Australia,2 DF,Leicester City
Cameron Burgess,Aberdeen,United Kingdom,Australia,2 DF,Swansea City
Alfie Jones,Bristol,United Kingdom,Canada,2 DF,Middlesbrough
Luc de Fougerolles,London,United Kingdom,Canada,2 DF,Dender
Owen Goodman,Harold Wood,England,Canada,1 GK,Barnsley
Aaron Tshibola,London Borough of Newham,United Kingdom,DR Congo,3 MF,Kilmarnock
Aaron Wan-Bissaka,Croydon,United Kingdom,DR Congo,2 DF,West Ham United
Michael Olise,Hammersmith,England,France,4 FW,Bayern Munich
Brandon Thomas-Asante,Milton Keynes,United Kingdom,Ghana,4 FW,Coventry City
Antoine Semenyo,London,United Kingdom,Ghana,3 MF,Manchester City
Jerome Opoku,Mitcham,United Kingdom,Ghana,2 DF,İstanbul Başakşehir
Zidane Iqbal,Manchester,United Kingdom,Iraq,3 MF,Utrecht
Callan Elliot,Scotland,United Kingdom,New Zealand,2 DF,Auckland FC
Tommy Smith,Macclesfield,United Kingdom,New Zealand,2 DF,Braintree Town
Joe Bell,Bristol,United Kingdom,New Zealand,3 MF,Viking
Matthew Garbett,London,United Kingdom,New Zealand,3 MF,Peterborough United
Erling Haaland,Leeds,United Kingdom,Norway,4 FW,Manchester City
Thelo Aasgaard,Liverpool,United Kingdom,Norway,3 MF,Rangers
Marvin Keller,London,United Kingdom,Switzerland,1 GK,Young Boys
Sebastian Berhalter,London,United Kingdom,United States,3 MF,Vancouver Whitecaps FC
Giovanni Reyna,Sunderland,United Kingdom,United States,3 MF,Borussia Mönchengladbach
Antonee Robinson,Milton Keynes,United Kingdom,United States,2 DF,Fulham
